epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
9,195.517,0.92788,1.66434,1.06807,0.77664,0.64197,0.76377,0.53463,0.87387,2.40087,1.0085,0.000976048,0.000976048,0.000976048
10,214.607,0.83549,1.61797,1.0238,0.59249,0.58462,0.57127,0.3746,0.92752,2.6923,1.06474,0.00107486,0.00107486,0.00107486
11,232.585,1.02278,1.95294,1.09392,0.4809,0.49231,0.43982,0.30665,0.94132,2.88928,1.07981,0.0011713,0.0011713,0.0011713
12,250.872,1.07599,1.96394,1.13851,0.81468,0.49231,0.62815,0.40656,0.96099,2.73161,1.07264,0.00126536,0.00126536,0.00126536
13,270.761,1.04653,1.80122,1.03039,0.87804,0.55381,0.72953,0.49634,1.01376,2.49343,1.0859,0.00135705,0.00135705,0.00135705
14,288.454,0.95526,1.64209,1.00998,0.53792,0.64476,0.60579,0.41138,0.97315,2.4332,1.09333,0.00144636,0.00144636,0.00144636
15,307.453,1.06924,2.0117,1.20044,0.53792,0.64476,0.60579,0.41138,0.97315,2.4332,1.09333,0.00153329,0.00153329,0.00153329
16,327.813,0.90019,1.36457,1.04161,0.48742,0.46154,0.4609,0.31043,0.93245,2.51747,1.11757,0.00161785,0.00161785,0.00161785
17,346.437,0.93165,1.50727,1.10706,0.25759,0.6,0.29673,0.20182,0.99991,2.77099,1.16823,0.0016832,0.0016832,0.0016832
18,366.038,1.023,1.57931,1.10531,0.49915,0.66154,0.62887,0.40595,1.01375,2.41677,1.1544,0.0016634,0.0016634,0.0016634
19,385.455,1.03797,1.46169,1.15969,0.49915,0.66154,0.62887,0.40595,1.01375,2.41677,1.1544,0.0016436,0.0016436,0.0016436
20,405.795,0.96787,1.40818,1.08818,0.64666,0.73212,0.73466,0.50671,0.95987,2.21511,1.08603,0.0016238,0.0016238,0.0016238
21,424.001,0.94367,1.45043,1.06568,0.66536,0.7036,0.70172,0.52743,0.92547,2.10603,1.09231,0.001604,0.001604,0.001604
22,442.402,0.8827,1.36353,1.02537,0.6798,0.69231,0.72919,0.53093,0.98589,2.01477,1.14316,0.0015842,0.0015842,0.0015842
23,465.267,0.97047,1.50684,1.11562,0.6798,0.69231,0.72919,0.53093,0.98589,2.01477,1.14316,0.0015644,0.0015644,0.0015644
24,491.73,0.81062,1.3553,1.01542,0.86791,0.80876,0.86369,0.63178,1.04883,1.77571,1.16063,0.0015446,0.0015446,0.0015446
25,519.892,0.88611,1.52472,1.05471,0.80387,0.70769,0.80184,0.59,1.00715,1.9061,1.18341,0.0015248,0.0015248,0.0015248
26,551.204,0.84443,1.34113,1.08434,0.87813,0.66517,0.77159,0.5907,0.93311,2.04645,1.14255,0.001505,0.001505,0.001505
